"","Dataset","gbm","pre"
"1","artificial-LM-128",NA,NA
"2","artificial-LM-256",NA,NA
"3","artificial-LM-512",NA,NA
"4","artificial-LM-1024",NA,NA
"5","artificial-LM-2048",NA,NA
"6","simulated-Step-Function-128",NA,NA
"7","simulated-Step-Function-256",NA,NA
"8","simulated-Step-Function-512",NA,NA
"9","simulated-Step-Function-1024",NA,NA
"10","simulated-Step-Function-2048",NA,NA
"11","simulated-StepLinear-Function-128",NA,2.28930307157713
"12","simulated-StepLinear-Function-256",NA,NA
"13","simulated-StepLinear-Function-512",NA,NA
"14","simulated-StepLinear-Function-1024",NA,NA
"15","simulated-StepLinear-Function-2048",NA,NA
"16","Friedman_1",NA,NA
"17","Friedman_2",NA,NA
"18","Friedman_3",NA,NA
"19","Boston_Housing_fold1",NA,NA
"20","Boston_Housing_fold2",NA,NA
"21","Boston_Housing_fold3",NA,NA
"22","Boston_Housing_fold4",NA,NA
"23","Boston_Housing_fold5",NA,NA
"24","Ozone_fold1",NA,NA
"25","Ozone_fold2",NA,NA
"26","Ozone_fold3",NA,NA
"27","Ozone_fold4",NA,NA
"28","Ozone_fold5",NA,NA
"29","Servo_fold1",NA,NA
"30","Servo_fold2",NA,NA
"31","Servo_fold3",NA,NA
"32","Servo_fold4",NA,NA
"33","Servo_fold5",NA,NA
"34","Abalone",NA,NA
"35","autos",NA,NA
"36","bike",NA,NA
