"","Dataset","forestryRF","caretRidgeRF_nonstrict","caretRidgeTree","ranger","glmnet","cubist","local_RF","BART"
"1","artificial-LM-128",107.5162211,3950.862834195,87.294452429,283.531538495,19.212549055,176.930678977,312.136339526,35.423912981
"2","artificial-LM-256",115.812628265,7742.712705912,66.009423806,295.81097224,21.401746591,420.852918799,314.258286046,42.107091949
"3","artificial-LM-512",255.853174967,15645.203996838,89.937741712,318.19419857,17.560763847,910.856607769,670.080004899,28.536488992
"4","artificial-LM-1024",652.72655312,18828.661944486,136.304983749,1680.892711353,18.019199393,1770.350446927,2018.639632267,109.121963616
"5","artificial-LM-2048",2038.264699726,61368.551797867,292.785029327,3665.115909637,19.516653184,3475.314322851,6904.356184136,128.637534629
"6","simulated-Step-Function-128",95.013083909,4222.74569365,70.979696576,154.091701013,14.917689285,221.443895981,357.139770508,38.214442423
"7","simulated-Step-Function-256",157.277287373,8722.393895342,90.112562631,249.051570824,9.298201502,415.478391445,432.367078173,63.741330204
"8","simulated-Step-Function-512",308.338573364,17300.12598301,104.548724852,730.554142508,10.524997011,824.546998252,2289.787703264,71.597301373
"9","simulated-Step-Function-1024",777.315935184,25485.364264761,159.874134929,1200.576670577,9.819641306,1870.940674598,3258.444716958,56.425981847
"10","simulated-Step-Function-2048",1552.887512487,95378.05911955,339.513207573,2259.106387538,8.257530953,3773.224132254,6684.191216443,138.372719261
"11","simulated-StepLinear-Function-128",152.801393845,4448.135662761,80.735011807,266.638693632,19.074237103,206.787631841,763.671798908,34.212009832
"12","simulated-StepLinear-Function-256",242.934647317,7285.81526439,72.00838628,278.943988855,15.31890759,370.511969809,1226.368365466,32.318699551
"13","simulated-StepLinear-Function-512",260.498440571,14571.356454485,79.231494397,524.220133052,16.460981307,934.684407526,1235.236697517,98.707395672
"14","simulated-StepLinear-Function-1024",694.452008305,34464.29839092,125.122779991,1156.080741003,12.502681143,1733.845162389,2988.433973538,70.373040162
"15","simulated-StepLinear-Function-2048",1295.655912643,60.811424768,247.743728908,2326.142039304,9.136615795,4093.892688429,4692.921785494,142.873292869
